order_id,product_id,add_to_cart_order,reordered
5460,37067,1,1
5460,19057,2,1
5460,24125,3,1
5460,10070,4,1
5460,39322,5,1
5460,46906,6,1
5460,41836,7,1
5460,21461,8,0
5460,13130,9,0
5460,22260,10,0
5460,8802,11,0
5460,19894,12,0
5460,45603,13,0
5460,13660,14,1
5460,6833,15,0
5606,4210,1,1
5606,4166,2,1
5606,10734,3,1
5606,4972,4,0
5606,42384,5,0
5606,8670,6,0
5606,7058,7,0
5606,24890,8,0
5606,429,9,0
5606,2234,10,1
5606,25466,11,0
6286,13176,1,1
6286,25138,2,1
6286,47209,3,1
6286,18027,4,1
6286,22035,5,1
6286,47626,6,1
6286,38281,7,1
6286,40545,8,0
6286,1818,9,1
6286,7260,10,0
6286,42110,11,1
6286,29898,12,0
6286,18272,13,0
6286,38557,14,0
6286,39557,15,0
6286,37022,16,1
6443,43005,1,1
6443,24852,2,1
6443,33572,3,1
6443,33642,4,1
6443,34262,5,0
6443,38772,6,0
7093,45394,1,1
7093,16556,2,0
7093,2409,3,0
7093,10479,4,1
7093,13950,5,1
7093,38185,6,1
7093,19348,7,1
7627,5450,1,1
7627,11520,2,1
7627,14702,3,1
7627,31717,4,1
7627,16262,5,1
7627,18095,6,1
7627,46663,7,1
7627,19613,8,1
7627,41950,9,1
7627,30391,10,1
7627,22852,11,1
7627,49235,12,1
7627,43136,13,0
7627,37307,14,0
7627,46667,15,1
7627,23517,16,0
7627,48775,17,0
8210,890,1,0
8210,44449,2,0
8210,40691,3,1
8210,33037,4,1
8210,9515,5,1
8210,24852,6,1
8349,31683,1,0
8349,47086,2,0
8349,35336,3,0
8349,27845,4,1
8349,8412,5,0
8349,4302,6,1
8349,18806,7,0
8349,49533,8,0
8349,48364,9,1
8349,22849,10,1
8349,18656,11,0
8349,25005,12,1
8349,45007,13,0
8349,39984,14,0
8349,21775,15,1
8349,28985,16,1
8349,30482,17,1
8349,30489,18,1
8349,7862,19,0
10278,29487,1,1
10278,38050,2,0
10278,36551,3,1
10278,25048,4,0
10278,22128,5,0
10278,11463,6,0
10278,47141,7,0
10278,39921,8,0
10278,32478,9,0
10859,35042,1,1
10859,46167,2,1
10859,36180,3,1
10859,47216,4,0
10859,31087,5,1
10859,31769,6,1
10859,24184,7,1
10859,39545,8,1
10859,11512,9,1
10859,49628,10,0
10859,37787,11,1
10859,20114,12,1
10859,15969,13,0
10859,22275,14,0
10859,37646,15,1
10859,2321,16,0
10859,7628,17,1
11168,11481,1,1
11168,46138,2,0
11168,17550,3,0
11168,48821,4,0
11168,36926,5,0
11168,5451,6,0
11168,38293,7,1
11168,11005,8,0
11168,29027,9,1
11168,25588,10,1
11168,40604,11,1
11168,18465,12,1
11168,14780,13,1
11168,12383,14,1
11168,39966,15,1
11168,436,16,1
11168,23161,17,0
11168,34214,18,1
11168,9779,19,0
11168,45195,20,0
11168,890,21,0
11961,28713,1,0
11961,11577,2,0
11961,43867,3,0
11961,7177,4,0
11961,14852,5,0
11961,8448,6,0
12151,48523,1,0
12151,16965,2,0
12151,36189,3,1
12151,46886,4,1
12151,37788,5,1
12151,23761,6,1
12151,18566,7,1
12151,24177,8,1
12151,40571,9,1
12151,48128,10,1
12151,29675,11,1
12151,14727,12,0
12151,45007,13,1
12151,47626,14,1
12151,5818,15,1
12151,36253,16,1
12151,2263,17,1
12151,7632,18,0
12151,32689,19,0
12151,49680,20,0
12743,24852,1,1
12743,8859,2,1
12743,16768,3,1
12743,25466,4,1
12743,15902,5,0
12743,9755,6,0
12743,8195,7,0
12743,37011,8,1
12743,22655,9,1
12743,47737,10,0
12743,2245,11,0
12743,10902,12,0
12743,23560,13,0
12743,43345,14,0
12743,26127,15,0
12743,46431,16,0
12744,26800,1,1
12744,24184,2,1
12744,3724,3,0
12744,6000,4,0
12744,22247,5,0
12744,47439,6,1
13038,49683,1,1
13038,31725,2,1
13038,39299,3,1
13038,4447,4,0
13038,44710,5,0
13038,45679,6,0
13038,36772,7,0
13038,15663,8,0
13038,29553,9,0
13038,23679,10,0
13585,25379,1,1
13585,16797,2,0
13585,25017,3,0
13585,15541,4,1
13592,13554,1,1
13592,4989,2,1
13592,45864,3,1
13592,26453,4,1
13592,21903,5,1
13592,48925,6,1
13592,35946,7,1
13592,37193,8,1
13592,47626,9,1
13592,3075,10,1
13592,33089,11,1
13592,33294,12,1
14246,9068,1,1
14246,30352,2,1
14246,7644,3,1
14246,49141,4,1
14246,5374,5,1
14246,34254,6,0
14246,29034,7,1
14246,45104,8,0
14246,43068,9,0
15664,44949,1,1
15664,5640,2,1
15664,17160,3,1
15664,17600,4,1
15664,42265,5,1
15664,36023,6,1
15664,46817,7,1
15664,32931,8,1
15664,34127,9,1
15664,16797,10,1
15664,33791,11,1
15664,49610,12,0
15664,13214,13,1
15664,21513,14,1
15664,14874,15,1
15664,13517,16,1
15664,21137,17,0
15664,44359,18,1
15664,2103,19,1
15664,38608,20,0
15664,40348,21,1
15664,40516,22,0
15664,39249,23,0
15664,12384,24,1
15664,7158,25,0
16184,39947,1,1
16184,10690,2,0
16184,32650,3,1
16184,45002,4,0
16184,8203,5,0
16184,23405,6,0
16184,22128,7,0
16184,1006,8,0
16184,14717,9,0
16184,10468,10,1
17205,43692,1,1
17418,28299,1,1
17418,4652,2,1
17418,11842,3,0
17418,13639,4,0
17418,14890,5,0
17589,1729,1,1
17589,30827,2,1
17709,21709,1,0
17709,40571,2,1
17709,34126,3,0
17709,24964,4,1
17709,10978,5,0
17709,14197,6,0
17709,43122,7,0
17709,39877,8,1
17709,30391,9,0
17709,18234,10,0
17709,47042,11,0
17709,18027,12,0
17709,19366,13,0
17709,47209,14,0
17709,40396,15,0
17709,26209,16,0
17709,35221,17,1
18975,33198,1,1
18975,49610,2,1
18975,13085,3,1
18975,27966,4,1
18975,13176,5,1
18975,18376,6,1
18975,27156,7,1
18975,890,8,1
18975,24489,9,1
18975,19478,10,1
18975,17281,11,1
18975,12872,12,1
18975,2086,13,1
18975,8518,14,1
18975,21903,15,1
18975,38275,16,1
18975,45063,17,1
18975,29801,18,1
18975,5876,19,1
19236,23803,1,1
19236,29487,2,1
19236,24852,3,1
19236,4605,4,1
19236,16349,5,1
19236,21938,6,1
19236,19003,7,1
19236,31717,8,1
19236,17389,9,1
19236,25764,10,1
19236,9626,11,1
19236,5450,12,1
19236,39844,13,0
19236,4920,14,0
19236,27020,15,1
19236,32689,16,0
19236,49683,17,0
19236,41480,18,0
19236,38755,19,0
19236,26604,20,0
19236,32338,21,0
19236,16903,22,0
19236,1181,23,0
19236,42625,24,0
19236,8424,25,0
19236,5618,26,0
19236,23532,27,0
19236,44570,28,1
19236,35395,29,0
19236,15100,30,0
19236,28836,31,1
19602,46069,1,1
19602,34243,2,1
19602,41220,3,1
19602,44359,4,1
19602,4658,5,1
19715,46315,1,1
19715,44843,2,1
19715,49610,3,1
19715,42490,4,1
19715,26456,5,1
19715,14726,6,1
19715,45134,7,1
19715,23375,8,1
19715,7410,9,1
19715,41269,10,1
19715,12764,11,0
19715,16741,12,0
19715,23452,13,0
19715,34253,14,0
19715,536,15,0
19715,226,16,0
19715,9531,17,0
19715,7431,18,0
19715,13828,19,0
20258,31717,1,1
20258,3957,2,1
20258,29662,3,0
20258,9421,4,1
20258,38295,5,0
20258,20734,6,0
20258,34243,7,0
20667,4605,1,1
20667,46979,2,1
20667,33464,3,1
20667,46941,4,1
20667,5782,5,1
20667,18516,6,1
20667,5097,7,1
20667,26882,8,0
20667,39993,9,1
20667,4662,10,1
20667,37465,11,0
20667,47766,12,0
20771,49191,1,1
20771,44949,2,1
20771,35321,3,1
20771,44278,4,1
20771,8424,5,0
20771,48679,6,0
20771,31066,7,0
20771,21616,8,1
20771,12206,9,0
20771,14739,10,0
20771,24518,11,0
20771,7413,12,0
20771,13870,13,1
20771,39922,14,0
20771,44683,15,1
20900,43814,1,1
20900,46229,2,1
20900,2776,3,0
20900,34886,4,1
20900,8153,5,1
20900,27086,6,0
20900,24852,7,1
20900,30618,8,1
20900,6184,9,0
21189,5769,1,1
21189,7021,2,1
21189,4031,3,0
21189,29987,4,0
21189,28842,5,0
21189,8518,6,0
21189,47141,7,0
21189,26842,8,0
21189,23734,9,0
22150,45007,1,1
22150,9839,2,1
22150,39180,3,0
22150,13176,4,0
22150,46979,5,0
22150,21903,6,0
22150,10978,7,0
22150,28849,8,0
22150,47209,9,0
22150,31717,10,0
22150,22935,11,1
22150,10749,12,0
22150,18479,13,0
24230,30489,1,0
24230,40174,2,1
24230,24964,3,1
24230,28985,4,1
24230,322,5,1
24230,37687,6,1
24230,42828,7,1
24230,13176,8,1
24230,39408,9,0
24230,8424,10,0
24230,6555,11,0
24898,18288,1,0
24898,8467,2,1
24898,27966,3,1
24898,3957,4,1
24898,47209,5,1
24898,13176,6,1
24898,41220,7,1
24898,35112,8,1
24898,21083,9,1
24898,45123,10,1
24898,17702,11,1
24898,46667,12,1
24898,44359,13,1
24898,19093,14,0
24994,5883,1,1
24994,28373,2,1
24994,26298,3,1
24994,18599,4,0
24994,39619,5,0
24994,24499,6,0
24994,21903,7,0
24994,27596,8,0
24994,30676,9,0
24994,3339,10,0
24994,45249,11,0
24994,27845,12,0
24994,9839,13,0
25472,18908,1,0
25472,6193,2,0
25472,14467,3,1
25472,5785,4,1
25472,36165,5,1
25472,5370,6,1
25472,39276,7,1
25472,675,8,1
25472,40724,9,0
25558,24852,1,1
25558,23815,2,1
25558,30391,3,1
25558,40706,4,1
25558,19057,5,1
25558,32369,6,1
25558,42944,7,1
25558,21137,8,1
25558,41220,9,0
25558,43122,10,1
25558,42633,11,0
26394,47156,1,1
26394,47766,2,1
26394,24852,3,1
26394,41220,4,1
26394,18656,5,1
26394,47900,6,1
26394,22888,7,1
26611,22688,1,0
26611,22275,2,0
26611,37990,3,0
26611,49026,4,0
26611,23579,5,0
26611,5250,6,0
26611,24632,7,0
26611,26427,8,0
26611,40493,9,0
26611,11230,10,0
26611,25,11,0
26611,12741,12,0
26611,14133,13,0
26611,12667,14,0
26611,43744,15,0
26611,47934,16,0
26611,12504,17,0
27069,22509,1,0
27069,8859,2,1
27128,10032,1,1
27128,29478,2,1
27128,19488,3,0
27128,12544,4,0
27128,21601,5,1
27128,5268,6,1
27128,46041,7,0
27128,18987,8,0
27128,20955,9,1
28520,3588,1,0
28520,40396,2,0
28520,16874,3,0
28520,11576,4,0
28520,10998,5,0
28901,27966,1,1
28901,24852,2,1
28901,28199,3,1
28901,39877,4,1
28901,46906,5,1
28901,39408,6,0
28901,5785,7,1
28901,6348,8,1
28901,33754,9,1
28901,47087,10,1
29039,3765,1,1
29039,35383,2,1
29750,27093,1,1
29750,3888,2,1
29750,34126,3,1
29750,23400,4,1
29750,11710,5,1
29750,13858,6,1
29750,19660,7,1
29750,33572,8,1
29750,44533,9,1
29750,17281,10,1
31241,18370,1,1
31241,13176,2,1
31241,23383,3,1
31241,9339,4,1
31241,10343,5,1
31241,21150,6,1
31241,41364,7,1
31241,15902,8,1
31241,28576,9,0
31241,4066,10,0
31241,40723,11,0
31241,43182,12,1
31241,10621,13,0
31241,32864,14,0
31241,27104,15,1
31241,19366,16,0
31241,18465,17,1
31241,24964,18,1
31241,44628,19,1
31241,35140,20,1
31241,12845,21,0
31241,12023,22,0
31241,38384,23,0
31241,21462,24,0
31241,37646,25,0
31241,27625,26,0
31241,29894,27,0
32916,47766,1,1
32916,23322,2,1
32916,28930,3,1
32916,45394,4,1
32916,31573,5,1
32916,5513,6,1
32916,15820,7,1
32916,23645,8,1
32916,27022,9,1
32916,24273,10,1
32916,29363,11,1
32916,33081,12,0
32916,28983,13,1
33550,196,1,1
33550,16714,2,1
33550,7131,3,1
33550,22802,4,1
33550,16974,5,1
33550,13575,6,0
34769,4472,1,1
34769,21387,2,0
34769,21137,3,0
34769,47209,4,1
34769,15290,5,0
34769,40604,6,0
34769,45066,7,0
34769,30489,8,1
34769,27344,9,0
34769,37687,10,0
34769,42265,11,0
36642,24427,1,1
36642,12894,2,1
36642,15650,3,1
36642,36316,4,1
36642,39041,5,1
36642,24004,6,1
36642,17621,7,0
36642,11488,8,1
36642,35004,9,1
36642,35688,10,0
36642,14869,11,1
36642,21936,12,1
36642,16720,13,1
36642,38596,14,0
36642,32573,15,1
36642,34862,16,0
36642,45787,17,0
38309,38775,1,1
38309,19660,2,1
38309,13176,3,1
38309,37919,4,1
38309,6184,5,1
38309,13575,6,0
39316,13176,1,1
39316,30407,2,1
39727,43295,1,0
39727,21288,2,0
39727,9076,3,0
39727,6852,4,0
39727,33109,5,0
39727,26493,6,0
39727,4103,7,0
39727,23322,8,0
39727,21019,9,0
40000,43124,1,1
40000,36390,2,1
40000,38580,3,1
40000,23909,4,1
40000,35613,5,1
40000,37867,6,1
40000,18987,7,1
40000,40592,8,0
40000,15650,9,1
40000,49141,10,1
40000,19510,11,0
40000,32885,12,0
40120,5077,1,1
40120,12099,2,1
40120,44632,3,1
40120,35221,4,1
40120,20392,5,1
40120,8467,6,1
40120,17600,7,1
40120,44622,8,0
40120,44765,9,0
40120,31066,10,1
40120,38273,11,0
40120,28123,12,0
41176,1468,1,1
41176,23765,2,1
41176,33022,3,1
41176,3628,4,1
41176,5450,5,0
41176,23181,6,0
41176,39619,7,0
41176,24296,8,0
41541,15312,1,1
41541,19303,2,1
41541,605,3,0
41541,13278,4,1
41541,13176,5,1
41541,17735,6,0
41647,37646,1,1
41647,26165,2,1
41647,21903,3,1
41647,21616,4,1
41647,47626,5,1
41887,27966,1,1
41887,47209,2,1
41887,34166,3,0
41887,12719,4,0
41887,12583,5,0
41887,13176,6,1
41887,45007,7,1
41887,39275,8,1
41887,4391,9,0
41887,45374,10,0
41887,28769,11,0
41887,17807,12,0
41887,35168,13,0
41887,40706,14,1
41887,22849,15,0
41887,5212,16,0
41887,5876,17,0
41887,39411,18,0
41887,28476,19,1
41887,14764,20,0
41887,46979,21,0
41887,11755,22,0
41887,11198,23,0
41887,13510,24,0
41887,34243,25,0
41887,40826,26,0
43443,17027,1,1
43443,36724,2,1
43443,44632,3,1
43443,26128,4,1
43443,17948,5,1
43443,24009,6,1
43443,3737,7,0
43443,13966,8,0
43443,21137,9,1
43443,32285,10,0
44885,19078,1,1
44885,47502,2,0
44885,20761,3,1
44885,1241,4,1
44885,4210,5,1
44885,12427,6,1
44885,3334,7,1
44885,31655,8,1
44885,24959,9,1
44885,33090,10,1
44885,27313,11,1
44885,19658,12,1
44885,34542,13,1
46266,23029,1,1
46266,38558,2,1
46266,34668,3,1
46266,15576,4,1
46266,2326,5,1
46266,4920,6,1
46266,42356,7,1
46266,17284,8,1
46266,21903,9,1
46266,13176,10,1
46266,13877,11,1
46266,21137,12,1
46266,48642,13,1
47050,25842,1,1
47050,432,2,1
47050,8693,3,1
47050,47652,4,0
47450,20344,1,0
47450,23117,2,0
47450,42736,3,0
47450,29015,4,0
47450,25588,5,1
47450,15872,6,1
47450,48634,7,0
47450,36086,8,1
47450,21903,9,1
48004,13563,1,1
48004,34358,2,1
48004,27171,3,0
48302,2280,1,0
48302,9170,2,0
48302,38444,3,1
48302,30669,4,0
48302,34080,5,0
48302,26914,6,0
48302,31778,7,1
48302,13966,8,0
48302,27514,9,1
48302,29104,10,0
48302,5385,11,1
48302,3868,12,0
48410,10473,1,1
48410,12341,2,0
48410,16283,3,0
48410,32689,4,1
48410,35951,5,0
48410,30450,6,1
49360,24852,1,1
49360,30571,2,1
49360,26629,3,1
49360,19057,4,1
49360,48600,5,0
49682,5769,1,1
49682,42475,2,1
49682,33000,3,0
49682,12732,4,1
49872,24852,1,1
49872,24838,2,1
49872,47766,3,1
49872,47626,4,1
49872,47630,5,1
49872,30305,6,1
49872,24830,7,1
49872,26790,8,0
49872,21162,9,1
49872,18176,10,1
49872,19046,11,0
49872,4086,12,0
49872,19048,13,0
49872,24236,14,0
50064,46720,1,1
50064,21701,2,1
50064,541,3,1
50064,37018,4,1
50064,9762,5,1
50064,10049,6,0
50064,10132,7,1
50064,29447,8,1
50064,25146,9,1
50064,39566,10,1
50064,1006,11,0
50064,11408,12,1
50064,34748,13,0
50064,30899,14,0
50064,27307,15,1
50064,5077,16,0
50064,40354,17,1
50360,8555,1,0
50360,4493,2,0
50360,31605,3,0
50360,14858,4,1
50360,36322,5,0
50360,7485,6,1
50360,5876,7,1
50360,2966,8,0
50360,47144,9,1
50360,14376,10,1
50360,18048,11,0
50360,23375,12,0
50607,11784,1,1
50607,17454,2,1
50607,45007,3,1
50607,23216,4,1
50607,3957,5,0
50607,25718,6,0
50607,41043,7,0
50607,26751,8,0
50607,9203,9,0
50607,48301,10,0
50607,11619,11,0
50607,29363,12,0
50607,24838,13,0
50607,47209,14,1
50607,34262,15,1
50607,19548,16,1
50607,45603,17,0
50607,13128,18,0
51244,17794,1,0
51244,45007,2,1
51244,8670,3,0
51244,46906,4,0
51244,28204,5,0
51244,47626,6,1
51244,44626,7,0
51244,23537,8,0
51244,20052,9,0
51244,27400,10,0
51244,44422,11,1
51244,46346,12,0
51471,1999,1,1
51471,6187,2,1
51471,27684,3,1
51471,20583,4,1
51471,45007,5,1
51471,37646,6,1
51471,39040,7,1
51471,30411,8,1
51471,46813,9,0
51471,7294,10,1
51471,11974,11,1
51471,12395,12,1
51471,5120,13,1
51471,14947,14,1
51471,3896,15,1
51471,39558,16,1
51471,16290,17,0
51471,31328,18,1
51471,38456,19,0
51471,27729,20,0
51607,41390,1,0
51607,42752,2,0
51607,14104,3,0
51607,35660,4,0
51607,42427,5,0
51607,17889,6,0
51660,42585,1,1
51660,27086,2,1
51660,28985,3,1
51660,37687,4,1
51660,40604,5,1
51660,48104,6,1
51660,26620,7,0
51660,30391,8,0
51660,15290,9,0
51660,2295,10,0
51660,24184,11,0
51660,32433,12,1
51660,1360,13,0
51660,40233,14,0
51660,23338,15,0
51660,21019,16,0
51800,11182,1,1
51800,18304,2,0
51800,34244,3,0
51800,7054,4,0
51800,24852,5,1
51800,24838,6,1
51800,47766,7,1
51800,24184,8,1
51800,41998,9,0
51800,40604,10,1
51800,42342,11,0
51800,46906,12,0
51800,6046,13,1
51800,15429,14,0
51800,40310,15,0
51800,21137,16,0
51800,3952,17,0
51800,31040,18,1
51800,26638,19,0
51800,14573,20,0
51800,21019,21,0
51800,29700,22,0
51800,8021,23,0
52243,46749,1,1
52243,42342,2,1
52243,40199,3,1
52243,44622,4,1
52243,34703,5,1
52243,859,6,1
52823,19076,1,0
52823,35095,2,0
52823,16185,3,0
52823,48171,4,0
52823,39719,5,0
52823,45483,6,0
52823,42352,7,0
52823,46172,8,0
54431,27086,1,1
54431,39332,2,1
54431,12023,3,1
54431,44811,4,1
54431,22290,5,1
54431,3473,6,1
54431,4005,7,1
54431,23630,8,0
54431,7361,9,0
54431,31506,10,0
54431,33351,11,0
54649,16759,1,0
54649,5876,2,0
54649,8006,3,0
54649,46667,4,0
54649,4605,5,0
54649,1999,6,0
54649,42858,7,0
54649,42736,8,0
54649,18465,9,0
54649,7500,10,0
54649,1529,11,0
54649,49533,12,0
55485,27978,1,1
55485,27104,2,1
55485,19748,3,1
55485,41488,4,1
55485,8518,5,1
55485,28842,6,1
55485,9387,7,1
55485,34592,8,0
55485,12145,9,0
55485,7562,10,0
55485,39121,11,1
55485,6669,12,1
55485,46676,13,0
56661,26115,1,1
56661,11033,2,1
56661,30720,3,1
56661,10246,4,1
58348,5794,1,1
58348,31640,2,1
58348,47144,3,1
58348,3861,4,1
58348,424,5,1
58348,43867,6,1
58348,43607,7,1
58348,29848,8,1
58348,554,9,1
58348,32303,10,1
58348,19057,11,1
58348,27757,12,1
58348,19910,13,1
58348,35406,14,1
58438,35124,1,1
58438,13654,2,0
58438,27196,3,1
58438,33231,4,1
58438,36959,5,1
58438,20502,6,1
58438,19915,7,1
58438,2618,8,1
58438,32237,9,1
58438,44987,10,0
58438,26373,11,0
58562,39947,1,1
58562,31964,2,0
58562,39275,3,1
58562,41690,4,1
58562,4562,5,1
58562,26369,6,0
58562,20842,7,1
58562,28985,8,1
58562,38966,9,0
58562,7948,10,0
58562,32781,11,0
58562,12556,12,0
58562,46979,13,0
60905,16759,1,0
60905,21938,2,0
60905,15025,3,0
60905,26882,4,0
62059,35503,1,1
62059,3579,2,1
62059,12916,3,1
62059,1981,4,1
62059,29801,5,1
62059,36695,6,1
62059,20995,7,1
62059,17461,8,1
62059,33731,9,1
62059,41544,10,1
62059,31506,11,1
62059,160,12,1
62059,48109,13,1
62059,23919,14,1
62059,12686,15,0
63396,43352,1,1
63396,9076,2,1
63396,5258,3,0
63396,21195,4,1
63396,45638,5,0
63396,37317,6,1
63396,22802,7,0
63396,38883,8,0
63396,21292,9,1
63396,9434,10,0
63396,7252,11,0
63396,39001,12,0
63591,48437,1,1
63591,24852,2,1
63591,37646,3,1
63591,4920,4,1
63591,27104,5,1
63591,40310,6,1
63591,26349,7,1
63591,45007,8,1
63591,14897,9,1
63591,17341,10,1
63591,29095,11,1
63591,36114,12,1
63591,8732,13,1
63591,8542,14,0
63591,22788,15,1
63819,40199,1,0
63819,16953,2,1
63819,26348,3,0
63819,27288,4,0
63995,49131,1,0
63995,5144,2,1
63995,7963,3,1
63995,8174,4,1
63995,24852,5,1
63995,27554,6,1
63995,41010,7,1
63995,1377,8,1
63995,39928,9,1
63995,8197,10,1
63995,16290,11,1
63995,14766,12,1
63995,2604,13,1
63995,7948,14,0
63995,41077,15,1
63995,25890,16,0
63995,45007,17,1
64319,19348,1,1
64319,43295,2,1
64319,33664,3,1
64319,24852,4,1
64319,6184,5,1
64319,41787,6,1
64319,4920,7,0
64652,24852,1,1
64652,28985,2,1
64652,4605,3,1
64652,45007,4,1
64652,44514,5,1
64652,37524,6,1
64652,5618,7,1
64652,8424,8,1
64652,16797,9,1
64652,38159,10,1
64652,39408,11,1
64652,46886,12,1
64652,1559,13,1
66680,38693,1,0
66680,29326,2,0
66680,13176,3,1
66680,19448,4,1
66680,20113,5,0
66680,13964,6,1
66920,30233,1,1
66920,13176,2,1
66920,43874,3,1
66920,27344,4,1
66920,29447,5,1
66920,36651,6,1
66920,19677,7,1
66920,35688,8,1
66920,21506,9,1
66920,19048,10,1
66920,17794,11,1
66920,47249,12,1
66920,12932,13,1
66920,16460,14,1
66920,14678,15,1
66920,23165,16,1
66920,4605,17,1
66920,18441,18,1
66920,7948,19,1
66920,31714,20,0
66920,25005,21,0
66920,19707,22,0
66920,21903,23,0
66920,2855,24,0
66920,34551,25,0
66920,35750,26,0
66920,14486,27,1
67479,18534,1,0
67479,42832,2,0
67479,22935,3,0
67479,17008,4,0
67479,48779,5,0
67479,39009,6,0
67479,21903,7,0
67479,13536,8,1
67479,13639,9,0
67479,30583,10,0
67479,25947,11,0
67618,40278,1,1
67618,13974,2,1
67618,47759,3,0
67618,44570,4,1
67618,11422,5,1
67618,27710,6,1
67618,23687,7,1
67618,32429,8,0
67888,27086,1,1
67888,24852,2,1
67888,45747,3,0
67888,31964,4,1
67888,8239,5,1
67888,10880,6,1
67888,28156,7,1
67888,21903,8,1
68069,21903,1,1
69997,17706,1,0
69997,35951,2,0
69997,30169,3,0
69997,21903,4,1
69997,34221,5,0
70006,13176,1,1
70006,25931,2,1
70006,43692,3,1
70006,43295,4,1
70006,46969,5,1
70006,40571,6,1
70006,8174,7,1
70006,35140,8,1
70006,3849,9,0
70874,16965,1,1
70874,4932,2,1
70874,13198,3,0
70874,25634,4,0
70874,36011,5,1
70874,24764,6,1
70874,8239,7,0
70874,6348,8,1
70874,25087,9,0
71810,46979,1,1
71810,24407,2,1
71810,37065,3,1
71810,47626,4,1
71810,12419,5,0
71810,49267,6,0
71810,24184,7,1
71810,23734,8,0
71810,43789,9,0
71810,21334,10,1
71810,42625,11,0
71810,30305,12,1
71810,24390,13,0
71810,13780,14,1
71810,31553,15,0
71810,47065,16,0
71810,43352,17,0
71810,44987,18,0
71810,49383,19,1
71810,28204,20,1
72637,27845,1,1
72637,33657,2,1
72637,26165,3,1
72637,26604,4,1
72637,47766,5,1
72637,13198,6,1
72637,2846,7,0
72637,30489,8,1
72637,17794,9,0
73131,1824,1,1
73131,41149,2,1
73131,25890,3,1
73131,432,4,1
73131,22142,5,1
73131,23208,6,0
73131,18441,7,0
73131,23236,8,1
73131,8518,9,0
73131,4562,10,1
73469,24810,1,0
73469,38662,2,0
73469,5161,3,0
73469,32230,4,0
73469,18471,5,0
73469,890,6,0
73469,32465,7,0
73469,41953,8,0
73469,47766,9,1
74103,42162,1,1
74103,19660,2,1
74103,3873,3,1
74103,27845,4,1
74103,24852,5,1
74103,49683,6,0
74103,9598,7,1
74103,31433,8,1
74103,19894,9,1
74103,33055,10,1
74103,8057,11,1
74103,27344,12,1
74103,27454,13,1
74103,27966,14,1
74103,20738,15,1
